order_id,customer_id,customer_name,order_date,region,product_id,product_name,quantity,unit_price,line_total
60129542207,1,GM,2024-09-10,NA,1,Oil Filter,8,15.0,102
60129542207,1,GM,2024-09-10,NA,0,Brake Pad,10,50.0,470
60129542207,1,GM,2024-09-10,NA,2,Spark Plug,2,8.0,15.68
60129542149,2,AutoZone,2024-09-11,NA,0,Brake Pad,3,50.0,132
60129542149,2,AutoZone,2024-09-11,NA,1,Oil Filter,2,15.0,25.2
60129542149,2,AutoZone,2024-09-11,NA,2,Spark Plug,4,8.0,26.88
8589934684,4,NAPA,2024-09-12,NA,1,Oil Filter,7,15.0,88.2
60129542186,0,Ford,2024-09-12,EU,2,Spark Plug,2,8.0,14.24
60129542186,0,Ford,2024-09-12,EU,1,Oil Filter,9,15.0,110.7
51539607633,1,GM,2024-09-12,NA,1,Oil Filter,3,15.0,42.75
51539607633,1,GM,2024-09-12,NA,0,Brake Pad,6,50.0,258
51539607633,1,GM,2024-09-12,NA,2,Spark Plug,6,8.0,38.4
8589934684,4,NAPA,2024-09-12,NA,0,Brake Pad,3,50.0,147
8589934684,4,NAPA,2024-09-12,NA,2,Spark Plug,3,8.0,20.88
60129542186,0,Ford,2024-09-12,EU,0,Brake Pad,1,50.0,40.5
34359738390,2,AutoZone,2024-09-13,EU,2,Spark Plug,4,8.0,31.04
73,3,Bosch,2024-09-13,NA,0,Brake Pad,1,50.0,49.5
34359738390,2,AutoZone,2024-09-13,EU,1,Oil Filter,1,15.0,12.3
8589934592,2,AutoZone,2024-09-13,NA,1,Oil Filter,5,15.0,74.25
34359738390,2,AutoZone,2024-09-13,EU,0,Brake Pad,9,50.0,418.5
8589934592,2,AutoZone,2024-09-13,NA,0,Brake Pad,9,50.0,396
8589934592,2,AutoZone,2024-09-13,NA,2,Spark Plug,3,8.0,21.84
8589934616,2,AutoZone,2024-09-13,EU,2,Spark Plug,2,8.0,15.36
8589934616,2,AutoZone,2024-09-13,EU,0,Brake Pad,9,50.0,396
73,3,Bosch,2024-09-13,NA,2,Spark Plug,3,8.0,21.6
73,3,Bosch,2024-09-13,NA,1,Oil Filter,6,15.0,80.1
8589934616,2,AutoZone,2024-09-13,EU,1,Oil Filter,10,15.0,148.5
42949673040,1,GM,2024-09-14,EU,2,Spark Plug,1,8.0,6.4
42949673040,1,GM,2024-09-14,EU,1,Oil Filter,6,15.0,89.1
34359738415,4,NAPA,2024-09-14,EU,0,Brake Pad,4,50.0,176
34359738415,4,NAPA,2024-09-14,EU,2,Spark Plug,7,8.0,47.04
0,2,AutoZone,2024-09-14,EU,2,Spark Plug,4,8.0,29.12
8589934636,0,Ford,2024-09-14,NA,1,Oil Filter,6,15.0,86.4
51539607630,0,Ford,2024-09-14,EU,1,Oil Filter,4,15.0,59.4
34359738415,4,NAPA,2024-09-14,EU,1,Oil Filter,1,15.0,12.15
